Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
29500	25	13	0	0	0	14	2	135502	2	0	0	70024	0	68348	0	132738	6	160069	0	108601	121819
29750	48	24	8	14	5	0	0	137801	9	0	0	65430	0	63026	0	129924	7	162031	0	108621	122835
30000	24	1	0	0	1	0	0	135557	0	0	0	71733	0	69667	0	131432	7	161579	0	110724	123736
30250	33	0	0	0	0	0	0	136312	0	0	0	72587	28	64887	0	132049	7	164772	0	111818	125080
30500	81	0	15	0	0	0	0	139168	30	0	0	67610	13	70449	0	133528	6	166027	0	113230	126088
30750	86	1	0	0	2	0	0	142599	12	0	0	73748	0	72186	0	139925	7	166318	0	113833	126731
31000	33	37	0	0	1	0	0	141422	0	0	0	69922	0	66680	0	136915	7	168361	0	115284	127880
31250	30	1	0	2	29	12	0	143712	0	0	0	75648	8	72462	0	136901	7	168437	0	115397	128534
31500	32	0	0	0	0	0	0	146479	2	0	14	77286	0	74508	0	142873	8	171622	0	116942	131038
31750	86	0	24	0	1	0	0	145962	1	0	0	77004	0	68414	0	139156	6	171673	0	117868	131045
32000	51	1	0	0	0	0	0	144832	0	0	0	71809	0	74926	0	140298	17	174029	0	118936	132072
32250	50	9	12	0	0	0	0	150642	17	13	0	78258	0	77152	0	142121	6	174470	40	119271	132974
32500	47	35	0	0	9	0	2	147415	0	0	0	78951	0	72316	0	148723	6	177020	0	120529	134657
32750	46	0	0	0	0	0	0	166320	0	0	0	73170	22	76813	0	144192	7	178694	0	123230	136430
33000	48	0	7	0	1	0	0	150489	0	0	0	82066	0	77802	0	145252	1241	178868	0	122198	136603
33250	47	14	0	0	2	0	0	151017	10	0	0	81578	0	79080	0	150904	6	181101	0	122841	137328
33500	41	43	0	0	0	0	0	158833	11	0	0	82165	0	72869	0	148231	8	182043	0	124882	138825
33750	63	0	0	0	2	0	0	154572	1	0	0	75404	0	80449	0	152587	16	182330	0	124188	140116
34000	132	3	0	0	0	0	8	160118	0	0	0	83908	0	82431	0	150268	6	184879	0	125958	140450
34250	55	3	0	2	0	0	0	157669	1	0	0	84329	1	75692	0	151573	8	186227	0	125945	141925
34500	121	0	0	0	0	0	0	165087	2	0	0	85001	0	82205	0	155900	6	188070	0	128469	143477
34750	103	36	0	0	1	0	0	160020	1	23	0	81414	0	83099	0	153001	7	190036	0	129482	144158
35000	147	0	0	0	0	13	0	166316	23	0	0	87435	0	84241	0	158678	7	190053	0	130167	144976
35250	184	29	0	0	18	0	0	165573	0	0	0	87185	23	78360	0	156343	7	191837	0	130496	146530
35500	272	1	0	35	2	24	0	169905	0	0	0	87726	14	85675	0	158067	6	191882	0	130455	146813
35750	165	1	1	0	1	0	1	168723	0	0	0	88352	0	88381	0	162618	8	194767	0	132184	147412
36000	180	38	0	0	0	0	0	174089	0	0	0	82043	2	89255	0	159396	7	196325	0	132150	150026
36250	174	1	0	0	0	0	0	168907	1	0	0	89741	0	87124	0	165745	6	197560	0	133845	149906
36500	65	0	0	0	3	0	0	175473	35	0	0	92814	0	81424	12	162230	22	199082	0	134459	150542
36750	75	0	0	0	0	0	0	176795	1	0	0	91018	1	88723	7	168040	6	200225	0	136998	153306
37000	90	15	0	0	0	0	0	172999	0	27	0	91204	0	89992	0	165682	6	202069	0	135846	153221
37250	56	20	0	0	2	0	0	183238	2	0	0	85373	1	90929	0	170293	8	203945	0	136793	154866
37500	52	0	0	0	1	0	0	176344	6	23	0	94244	0	91069	0	174617	6	204162	0	137858	156111
37750	250	1	0	0	0	0	0	182800	14	3	0	98464	0	91768	0	168706	8	206041	0	140474	157179
38000	124	1	0	0	59	0	0	184711	59	0	0	97788	23	104539	0	173617	6	207191	0	139351	157729
38250	58	57	0	0	0	0	0	184301	24	0	0	96022	0	87536	0	170554	8	209076	0	140721	158105
38500	59	6	12	8	3	0	0	184695	15	25	0	95800	2	94275	0	176172	7	211555	0	141704	160460
38750	70	1	0	0	1	0	0	189472	3	0	0	98070	1	97877	0	179815	6	211078	0	143742	160199
39000	54	0	0	0	1	1	5	189814	4	0	0	97032	0	96239	0	175120	7	212806	0	143276	162861
39250	50	0	0	0	1	0	0	185945	2	0	0	90505	27	97346	0	179776	7	214438	0	144905	162194
39500	57	49	0	0	3	0	0	191238	18	12	0	99221	7	98401	0	181841	17	215938	0	146790	164463
39750	47	2	0	0	3	19	0	192809	1	36	44	102452	0	98854	0	178699	6	216415	0	145714	164814
40000	50	1	0	0	6	0	0	197394	1	0	0	103045	0	99525	0	186029	8	218598	0	146789	166751
40250	51	2	0	2	18	0	0	196031	0	0	0	101943	0	92985	0	186122	6	219441	0	149749	166671
40500	60	1	0	0	6	0	0	191105	2	0	0	105757	23	100782	12	181897	6	220130	0	148857	168693
40750	48	38	0	0	1	0	0	198135	0	0	0	102168	0	107406	8	186955	9	222045	0	151230	169485
41000	38	1	14	0	38	0	0	200485	2	0	0	105717	0	103633	0	189229	6	222946	0	150617	169696
41250	44	3	0	0	7	0	0	203679	2	0	0	103919	0	106134	0	185699	7	224881	0	152542	172514
41500	58	2	0	34	2	0	0	209757	0	0	0	105294	0	103584	0	193406	7	226920	0	154713	172441
41750	98	2	0	0	2	0	0	203462	1	0	0	104317	0	103978	0	193954	7	227404	0	152816	174689
42000	46	41	0	0	19	0	0	200015	0	0	0	105141	2	106508	0	194638	6	228795	0	155729	173821
42250	45	1	0	0	23	0	3	207554	3119	0	0	105960	0	105378	0	195539	7	230510	0	154737	175972
42500	46	31	0	0	14	0	0	209782	8	26	0	112867	0	112912	22	192764	25	231535	0	157072	177120
42750	110	2	0	0	11	0	0	211874	0	0	0	107481	1	108588	0	200724	6	238068	0	158977	176907
43000	120	4	0	0	9	0	0	210845	0	0	0	109595	0	109400	0	200042	8	235907	0	157951	179805
43250	115	40	0	0	10	12	0	213426	2	0	0	108486	21	112428	0	201616	7	237635	0	160115	180547
43500	86	2	2	0	10	0	0	215918	8	0	0	109495	1	112391	0	202254	8	238506	8	159666	179752
43750	56	0	0	0	9	38	0	217465	7	2	0	111311	1	110904	0	202824	8	238472	0	162628	180581
44000	52	4	15	0	8	0	0	217127	3	0	0	112270	0	112141	0	201556	6	239235	0	162103	181462
44250	50	44	0	0	12	0	0	219969	20	0	0	113086	1	113974	0	206127	8	241403	0	164571	181914
44500	62	3	0	13	113	0	0	219767	3	0	0	112098	0	115509	12	204757	6	244067	0	163618	184295
44750	62	5	0	0	21	0	0	226138	6	13	0	115781	0	120178	14	206943	7	244001	0	166684	186572
45000	45	2	14	0	7	0	0	228229	12	0	1	114205	2	126514	0	207882	7	245550	0	165292	184567
45250	42	2	0	0	2	0	0	224399	12	0	0	119741	0	125568	0	212722	38	246678	0	168026	186708
45500	64	43	0	0	4	0	0	226278	10	0	0	115480	0	125725	0	213775	7	249481	0	167079	187874
45750	43	14	0	0	3	0	0	235429	11	0	0	115690	0	121380	0	212194	7	249061	0	170912	187314
46000	42	1	0	0	3	2	0	230626	0	28	0	125556	8	122625	0	213372	7	250966	0	169151	249838
46250	45	4	0	0	2	0	0	237318	1	0	0	116023	2	123961	0	215927	6	253898	0	172154	226884
46500	81	5	0	0	57	0	0	238561	2	0	0	123371	0	125221	0	216618	8	254238	0	172758	230759
46750	43	11	0	0	0	0	0	238510	1	0	0	121154	0	133521	0	217584	6	255246	0	171984	200646
47000	57	3	0	0	0	0	0	238863	2	0	0	122155	1	126764	0	218337	6	258243	0	175759	223873
47250	53	28	0	0	2	0	0	243625	1	0	0	126696	6	129111	0	219557	8	258759	0	175416	245179
47500	67	2	0	52	3	0	0	239457	10	35	0	123654	4	135285	0	223915	6	259466	0	176347	229621
47750	64	45	0	0	1	0	0	243583	0	0	0	132538	0	131412	0	223495	7	261758	0	178053	212159
48000	86	2	0	0	0	20	0	244933	1	0	0	135668	0	138486	0	225436	7	261601	0	176803	231206
48250	97	17	0	0	1	0	4	252240	1	0	0	125998	0	133227	0	225063	18	264019	0	180300	205055
48500	99	22	0	0	2	0	0	247111	1	0	0	126999	0	133652	0	228320	6	265289	12	181922	206997
48750	89	49	0	0	0	0	0	247429	0	0	0	132749	23	134502	13	231287	7	267181	0	180500	209843
49000	97	5	0	0	16	0	0	254620	1	0	0	130267	0	143969	0	229927	7	268074	0	183834	204940
49250	97	4	0	0	1	0	8	257662	9	0	0	139735	0	144911	0	231256	7	268362	0	183693	208019
49500	66	3	0	0	1	0	0	254185	1	0	0	130406	0	137506	0	238989	7	272093	0	182780	208596
49750	190	5	0	0	1	0	0	263239	0	12	0	131270	0	146387	0	238795	6	271106	0	186392	210369
50000	207	44	0	0	6	0	0	264082	0	23	0	132135	0	140710	0	234063	8	275160	0	188070	209552
50250	190	5	0	0	20	0	0	258824	0	0	0	141781	0	140671	0	236641	6	274180	0	185376	210916
50500	90	1	0	12	172	0	0	268270	0	0	0	136052	0	151000	0	237749	6	277161	0	188746	210360
50750	108	2	0	0	121	0	0	263842	14	0	0	134992	0	146186	0	248028	9	277845	0	189768	223172
51000	102	21	0	0	19	0	0	270148	24	0	0	134532	1	148955	0	242719	6	280426	0	190614	216856
51250	91	28	0	0	24	0	0	267986	0	0	0	142840	23	154168	0	241694	8	282793	0	189642	220909
51500	83	13	2	0	18	0	0	275825	2	0	0	134536	17	146094	0	244596	7	283255	0	192657	223231
51750	98	2	0	0	14	0	0	274587	0	0	14	134529	0	149088	0	255700	6	284444	0	193841	217423
52000	75	2	0	0	8	0	0	280689	0	0	0	135077	0	157600	0	248202	7	283928	0	195001	217178
52250	83	38	0	0	59	19	0	276259	0	0	0	146596	0	150903	0	247719	7	286464	0	192825	218047
52500	93	18	0	0	4	0	0	285691	0	53	0	144619	0	162963	12	249664	7	287903	0	195820	217443
52750	70	26	0	0	0	0	0	428619	30	0	0	138735	0	156224	0	260225	6	287975	0	196422	219500
53000	145	6	0	0	1	0	46	396683	2	0	0	149581	0	161659	0	253562	9	291567	0	198015	220283
53250	73	34	0	22	0	0	0	314107	3	3	0	140082	75	155999	0	257475	18	292469	0	199814	220408
53500	83	5	13	0	3	0	0	292569	1	2	0	143432	0	164195	0	259302	15	291744	0	198114	222493
53750	74	14	0	0	1	0	0	291234	1	0	0	151838	37	158999	0	259186	9	295168	0	200831	222919
54000	68	6	0	0	0	0	0	293301	1	0	0	143498	0	170036	0	266521	28	297639	0	201543	225286
54250	96	25	12	0	1	0	0	304608	10	0	0	149530	0	165962	0	263300	15	297155	9	203662	226760
54500	100	17	0	0	12	0	0	301515	5	12	0	156816	0	169639	0	268914	7	299873	0	203418	226741
54750	121	19	0	1	50	0	3	300748	1	34	0	146538	0	162570	0	275243	7	301451	0	212250	227595
55000	90	8	22	0	0	0	0	300791	3	15	0	234704	0	173094	0	272554	6	301703	0	207244	229156
55250	102	4	0	0	1	0	1	306006	1	0	21	585842	0	164272	0	269168	7	303494	0	207653	230334
55500	83	33	0	0	2	0	0	307798	0	0	0	777148	0	177720	0	280590	8	304747	0	207703	230085
55750	148	33	0	0	0	0	0	313653	12	0	0	452974	0	178517	0	272504	9	306024	0	206988	231836
56000	221	5	0	0	1	0	0	312998	8	0	0	155342	0	171867	0	280226	7	307372	0	210750	250308
56250	309	6	0	10	1	0	0	315904	1	0	24	161600	0	180257	0	277913	6	309369	0	210416	256609
56500	314	52	12	21	0	0	1	319332	0	0	0	153541	28	170754	0	289993	8	312001	0	209860	260990
56750	318	6	0	26	1	0	0	315451	0	0	0	220122	0	185930	0	286365	35	310517	0	211222	260712
57000	326	8	0	0	0	0	1	323475	16	0	0	462069	0	191196	0	286070	6	314370	0	214707	267726
57250	377	8	7	0	9	0	0	327868	8	13	0	429299	0	180293	0	298194	8	315904	0	215750	272137
57500	298	64	0	0	1	0	2	325429	16	0	0	212464	0	188512	0	295262	6	316416	0	217103	266218
57750	271	7	0	0	9	0	8	326401	20	0	0	779959	1	191882	0	292974	7	318916	0	217386	263917
58000	226	9	12	0	0	0	5	336446	13	0	0	742910	0	191622	0	302080	8	319989	0	219337	272804
58250	247	2	0	0	1	0	5	338001	4	0	0	728154	0	190845	0	313775	6	321530	0	218628	276435
58500	966	19	0	0	0	0	1	335036	3	0	0	756391	0	195757	0	308813	7	322053	0	219663	275533
58750	533	28	0	0	0	0	0	343588	1	0	0	391325	0	192199	0	305091	7	324668	0	222878	272868
59000	227	40	0	8	0	12	5	341990	0	0	0	192800	0	198590	0	320609	7	324763	0	224500	268609
59250	190	15	0	0	0	0	0	339794	38	0	0	700151	37	194014	0	312356	6	326347	0	226674	271272
59500	190	9	0	0	1	0	0	347267	0	0	0	847676	0	187237	0	322108	8	330194	9	229013	270558
59750	146	45	0	0	0	0	0	343842	1	49	0	600060	0	206001	0	324933	7	329318	0	231202	272984
60000	128	11	0	0	36	0	0	352431	0	0	0	738286	3	199657	0	329129	7	330481	0	234056	273564
60250	126	48	0	0	1	12	0	353091	4	0	0	411320	7	203628	0	326271	8	331767	0	234798	272652
60500	107	4	26	0	2	0	0	351162	1	0	14	184247	0	205945	0	327720	7	334186	0	237570	268743
60750	101	43	0	0	2	0	0	353298	1	0	0	172807	0	207795	0	336197	7	335085	0	239314	255277
61000	85	21	0	0	0	0	0	374475	1	0	0	186100	1	217845	0	331392	7	336692	0	240622	258879
61250	217	4	41	0	1	0	0	359931	0	0	0	183679	0	203538	0	339653	7	337769	0	244358	257515
61500	147	9	14	0	0	0	0	359874	0	0	0	180069	0	207697	0	349761	7	339551	0	244382	259414
61750	212	39	13	0	0	0	0	379635	2	0	0	190984	58	214476	14	345625	6	341579	0	248852	260510
62000	171	27	0	0	2	0	0	358177	0	0	0	187036	12	232501	0	354731	7	344254	0	248569	261238
62250	147	11	0	0	11	0	0	381916	2	53	0	186195	0	229999	0	345946	7	343649	0	252699	263294
62500	172	13	0	0	8	0	0	384958	19	0	14	179740	0	220205	0	348824	7	345347	0	252674	262823
62750	100	12	0	0	14	0	0	366057	1	0	0	258152	0	234073	0	377084	15	346752	0	256321	266579
63000	89	21	0	0	0	0	0	392326	1	0	0	194334	0	225721	0	365924	9	348152	0	258835	265889
63250	85	6	0	0	2	0	0	372435	1	2	0	193896	0	230943	0	379792	6	350023	0	259765	266938
63500	88	8	0	0	0	0	0	381810	3	0	0	196926	2	229953	0	375612	6	352213	0	261810	268432
63750	74	35	0	0	2	0	0	380577	1	0	0	199269	0	246255	0	384911	8	352345	0	265991	268529
64000	94	23	0	0	1	0	0	386116	1	0	0	195777	0	256766	12	386362	6	354938	0	267097	271744
64250	102	58	0	0	0	12	0	384491	10	0	0	223668	25	234844	27	397818	7	354594	0	269601	269803
64500	67	14	0	0	8	0	0	391986	1	20	0	220372	0	232867	0	381823	7	358235	0	269984	273077
64750	78	21	0	8	0	24	4	401158	0	3	0	193429	0	238439	0	405095	6	359130	0	277485	272898
65000	64	17	0	0	0	0	0	411212	0	0	0	202017	0	241777	0	399041	7	359908	0	274310	275479
65250	81	11	0	0	9	0	0	397819	0	0	0	216344	0	282497	0	397156	7	361933	0	281353	275087
65500	85	30	0	0	1	0	0	412041	4	0	0	209430	0	243734	0	413967	8	363765	0	284569	279159
65750	62	40	0	0	0	0	0	394513	0	0	0	211214	1	252904	0	415233	2438	364984	0	280149	277147
66000	59	45	0	0	0	0	0	413435	39	0	0	214381	12	257622	0	420392	6	365908	0	284401	278076
66250	76	27	0	0	0	0	49	445388	0	13	0	213996	1	262193	1	422375	8	368707	0	285204	279830
66500	77	16	0	0	30	0	0	607075	2	27	0	225944	0	266840	0	429714	6	369552	0	290939	285580
66750	57	23	0	2	1	0	0	673783	3	8	0	219196	1	265812	0	530996	7	372383	0	291063	282500
67000	85	33	0	0	10	0	0	663736	1	0	0	227968	28	271371	0	588628	9	371929	0	289472	281834
67250	70	32	0	0	0	0	0	659084	1	0	0	222985	1	269089	0	448411	7	374634	0	298137	284510
67500	72	14	0	8	0	0	0	478256	0	0	0	240092	1	275054	0	452220	6	376690	0	297740	285415
67750	68	21	0	12	10	0	0	428007	9	0	0	247475	0	264573	0	444609	7	376095	0	299209	284945
